track_name,artists,valence,energy,danceability,tempo,acousticness,loudness,mood
Eye of the Tiger,Survivor,0.5104386347495624,0.9922811627396869,0.8300876367030539,150.70805484350257,0.04286126766228409,-2.0751412899589625,Energetic
7 rings,Ariana Grande,0.7003242165675938,0.9662108750578902,0.7619586753224756,144.93772038985804,0.07802961731090706,-3.6886480743661423,Energetic
Thunderstruck,AC/DC,0.5435838658180254,0.9156207138323388,0.8636320180275507,159.44184166734104,0.0,-3.522710539617881,Energetic
Thunderstruck,AC/DC,0.5811020956654883,1.0,0.8284515832064155,160.1507174077512,0.0013418794044192592,-1.2737687445109533,Energetic
The Night We Met,Lord Huron,0.1542028337492851,0.2776556484813322,0.42283302949677487,78.32548944336511,0.6608382438212809,-8.272255010761278,Sad
Old Town Road,Lil Nas X,0.5536460520953722,0.9737790039828014,0.865040439481033,148.36217251511292,0.0,-2.289809158162863,Energetic
Till I Collapse,Eminem,0.6312062877584864,1.0,0.8444150923375273,153.8217681665303,0.07576658486135884,-2.022184007897204,Energetic
Mo Bamba,Sheck Wes,0.6390414672611888,0.8826029967347886,0.909037216093171,155.12287895878438,0.0,-4.234372923414005,Energetic
Bloom,The Paper Kites,0.4228427807806813,0.19923930040755194,0.38461467355849255,93.34538844048075,0.7252683347453438,-19.760357458969366,Calm
Montero,Lil Nas X,0.8410230159521555,0.8622741556936406,0.7807598792492797,138.52384300052282,0.09361692399197023,-1.1813051196288402,Happy
Clair de Lune,Debussy,0.48645499144862264,0.19745685743703606,0.38528547088706816,65.82294743984006,0.9861488296144403,-14.779768199639374,Calm
Montero,Lil Nas X,0.8185781784027265,0.7275330374306439,0.7362445486256973,120.4169768592892,0.29217801063331117,-3.929472896056543,Happy
Bad Guy,Billie Eilish,0.6020309686232219,0.8913389737607615,0.7971624214469777,144.52775553421952,0.01800807502950904,-1.461410494838532,Energetic
Ocean Eyes,Billie Eilish,0.4013392021326365,0.1586105393441206,0.4000841157753202,60.42753657106651,0.6205192177397485,-21.74789516540133,Calm
Skinny Love,Bon Iver,0.42634636382798496,0.22567698302998093,0.3231656925567489,76.91859550792809,0.7521122438361386,-16.90309637203712,Calm
Bloom,The Paper Kites,0.39033659013603506,0.2562208319829815,0.39177392627672986,75.86443425172799,0.5885790257927959,-16.87701828240442,Calm
Cry Me a River,Justin Timberlake,0.22422380542019654,0.2733063075526359,0.31174086974889104,82.59487425377283,0.48067681670721574,-10.624641223076873,Sad
Nightcall,Kavinsky,0.5167793717248194,0.21951598686698223,0.36039321401456736,67.49865243414114,0.8086319060233075,-16.392860937864413,Calm
A Thousand Years,Christina Perri,0.526148118605977,0.11395714815397084,0.47664823894277925,70.11319411972606,0.6922870873624897,-18.09836354485487,Calm
